event_id,event_family,reference_period,actual_release_at_utc,actual_initial,consensus_value,point_in_time_quality
a81f66c63db461f1210108a5,us_nonfarm_payrolls,2019-11,2019-12-11T13:30:00Z,151667.0,,missing
a60f7e9db8426f836bc53013,us_nonfarm_payrolls,2019-10,2019-11-10T13:30:00Z,151460.0,,missing
f0350251b5f5465a08ca7813,us_nonfarm_payrolls,2019-09,2019-10-09T13:30:00Z,151365.0,,missing
d3fe62ab3f2cb2b11ea03259,us_nonfarm_payrolls,2019-08,2019-09-08T13:30:00Z,151169.0,,missing
e2535d74858ed49c38dd2099,us_nonfarm_payrolls,2019-07,2019-08-07T13:30:00Z,150937.0,,missing
685542159f9eaf21b139cf7d,us_nonfarm_payrolls,2019-06,2019-07-06T13:30:00Z,150838.0,,missing
6be8d30b881571d61f888155,us_nonfarm_payrolls,2019-05,2019-06-05T13:30:00Z,150618.0,,missing
bb3a7cf354f80552ae1a1303,us_nonfarm_payrolls,2019-04,2019-05-04T13:30:00Z,150591.0,,missing
7e6483f49a34864a2a3bbdd2,us_nonfarm_payrolls,2019-03,2019-04-03T13:30:00Z,150295.0,,missing
c71e55ddf8b7fe7d00d662b2,us_nonfarm_payrolls,2019-02,2019-03-02T13:30:00Z,150067.0,,missing
e51b427c76449e276546d8a9,us_nonfarm_payrolls,2019-01,2019-02-01T13:30:00Z,150060.0,,missing
1689325064c086f37c9e6171,us_nonfarm_payrolls,2018-12,2019-01-12T13:30:00Z,149809.0,,missing
5a3f7b5c457482d72672467b,us_nonfarm_payrolls,2018-11,2018-12-11T13:30:00Z,149617.0,,missing
b39036bbfc16612780b636d9,us_nonfarm_payrolls,2018-10,2018-11-10T13:30:00Z,149527.0,,missing
6ba6c1a6368a115b3d86f9f2,us_nonfarm_payrolls,2018-09,2018-10-09T13:30:00Z,149358.0,,missing
5f889da57bff75857dcfc009,us_nonfarm_payrolls,2018-08,2018-09-08T13:30:00Z,149277.0,,missing
b6876142ddb491127168a268,us_nonfarm_payrolls,2018-07,2018-08-07T13:30:00Z,149020.0,,missing
defadc5651acaf4fa2679ef5,us_nonfarm_payrolls,2018-06,2018-07-06T13:30:00Z,148960.0,,missing
973497a22cf768675d73b861,us_nonfarm_payrolls,2018-05,2018-06-05T13:30:00Z,148742.0,,missing
081393383c2212f090c390fa,us_nonfarm_payrolls,2018-04,2018-05-04T13:30:00Z,148420.0,,missing
